G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
38,4/2/22,N,Duke,W,81,77,27,64,0.422,10,26,0.385,17,24,0.708,15,48,7,2,5,10,19
39,4/4/22,N,Kansas,L,69,72,23,73,0.315,5,23,0.217,18,22,0.818,20,49,9,2,6,13,13
40,11/7/22,,UNC Wilmington,W,69,56,22,48,0.458,2,10,0.2,23,30,0.767,6,29,4,5,6,8,18
41,11/11/22,,College of Charleston,W,102,86,35,58,0.603,5,20,0.25,27,38,0.711,8,28,16,6,8,8,14
42,11/15/22,,Gardner-Webb,W,72,66,23,60,0.383,8,25,0.32,18,21,0.857,6,36,8,4,8,10,14
43,11/20/22,,James Madison,W,80,64,27,61,0.443,8,25,0.32,18,24,0.75,11,48,14,4,1,12,22
44,11/24/22,N,Portland,W,89,81,31,58,0.534,11,22,0.5,16,26,0.615,9,36,17,4,1,13,15
45,11/25/22,N,Iowa State,L,65,70,22,50,0.44,3,18,0.167,18,25,0.72,10,31,12,7,2,14,19
46,11/27/22,N,Alabama,L (4 OT),101,103,38,91,0.418,7,23,0.304,18,20,0.9,13,49,15,12,10,18,23
47,11/30/22,@,Indiana,L,65,77,20,59,0.339,5,18,0.278,20,27,0.741,10,37,5,4,3,9,18
48,12/4/22,@,Virginia Tech,L,72,80,24,51,0.471,3,17,0.176,21,27,0.778,4,24,6,5,5,10,17
49,12/10/22,,Georgia Tech,W,75,59,27,57,,3,13,,18,24,,,,,,,,
50,,,Citadel,,100,,32,65,,15,31,,21,27,,,,,,,,
