Player,,College,Year,NUMBER,PICK
Dalano Banton,Toronto Raptors,Nebraska,2021,2,16
David Johnson,Toronto Raptors,Louisville,2021,2,17
Sharife Cooper,Atlanta Hawks,Auburn,2021,2,18
Marcus Zegarowski,Brooklyn Nets,Creighton,2021,2,19
Filip Petrusev,Philadelphia 76ers,KK Mega Leks (Serbia),2021,2,20
Brandon Boston Jr.,Memphis Grizzlies,Kentucky,2021,2,21
Luka Garza,Detroit Pistons,Iowa,2021,2,22
Charles Bassey,Philadelphia 76ers,Western Kentucky,2021,2,23
Sandro Mamukelashvili,Indiana Pacers,Seton Hall,2021,2,24
Aaron Wiggins,Oklahoma City Thunder,Maryland,2021,2,25
Scottie Lewis,Charlotte Hornets,Florida,2021,2,26
Balsa Koprivica,Charlotte Hornets,Florida State,2021,2,27
Jericho Sims,New York Knicks,Texas,2021,2,28
RaiQuan Gray,Brooklyn Nets,Florida State,2021,2,29
Georgios Kalaitzakis,Indiana Pacers,BC Nevezis (Greece),2021,2,30
Anthony Edwards,Minnesota Timberwolves,Georgia,2020,1,1
James Wiseman,Golden State Warriors,Memphis,2020,1,2
LaMelo Ball,Charlotte Hornets,Illawarra (Australia),2020,1,3
Patrick Williams,Chicago Bulls,Florida State,2020,1,4
Isaac Okoro,Cleveland Cavaliers,Auburn,2020,1,5
Onyeka Okongwu,Atlanta Hawks,Southern California,2020,1,6
Killian Hayes,Detroit Pistons,Ratiopharm Ulm (Germany),2020,1,7
Obi Toppin,New York Knicks,Dayton,2020,1,8
Deni Avdija,Washington Wizards,Maccabi Tel Aviv B.C. (Israel),2020,1,9
Jalen Smith,Phoenix Suns,Maryland,2020,1,10
Devin Vassell,San Antonio Spurs,Florida State,2020,1,11
Tyrese Haliburton,Sacramento Kings,Iowa State,2020,1,12
Kira Lewis Jr.,New Orleans Pelicans,Alabama,2020,1,13
Aaron Nesmith,Boston Celtics,Vanderbilt,2020,1,14
Cole Anthony,Orlando Magic,North Carolina,2020,1,15
Isaiah Stewart,Portland Trail Blazers,Washington,2020,1,16
Aleksej Pokusevski,Minnesota Timberwolves,Olympiacos B.C. (Greece),2020,1,17
Josh Green,Dallas Mavericks,Arizona,2020,1,18
Saddiq Bey,Brooklyn Nets,Villanova,2020,1,19
Precious Achiuwa,Miami Heat,Memphis,2020,1,20
Tyrese Maxey,Philadelphia 76ers,Kentucky,2020,1,21
Zeke Nnaji,Denver Nuggets,Arizona,2020,1,22
Leandro Bolmaro,New York Knicks,FC Barcelona Basquet (Spain),2020,1,23
R.J. Hampton,Milwaukee Bucks,Breakers (New Zealand),2020,1,24
Immanuel Quickley,Oklahoma City Thunder,Kentucky,2020,1,25
Payton Pritchard,Boston Celtics,Oregon,2020,1,26
Udoka Azubuike,Utah Jazz,Kansas,2020,1,27
Jaden McDaniels,Los Angeles Lakers,Washington,2020,1,28
Malachi Flynn,Toronto Raptors,San Diego State,2020,1,29
Desmond Bane,Boston Celtics,Texas Christian,2020,1,30
Tyrell Terry,Dallas Mavericks,Stanford,2020,2,1
Vernon Carey Jr.,Charlotte Hornets,Duke,2020,2,2
Daniel Oturu,Minnesota Timberwolves,Minnesota,2020,2,3
Theo Maledon,Philadelphia 76ers,ASVEL Basket (France),2020,2,4
Xavier Tillman,Sacramento Kings,Michigan State,2020,2,5
Tyler Bey,Philadelphia 76ers,Colorado,2020,2,6
Vit Krejci,Washington Wizards,Basket Zaragoza 2002 (Spain),2020,2,7
Saben Lee,Utah Jazz,Vanderbilt,2020,2,8
Elijah Hughes,New Orleans Pelicans,Syracuse,2020,2,9
Robert Woodard II,Memphis Grizzlies,Mississippi State,2020,2,10
Tre Jones,San Antonio Spurs,Duke,2020,2,11
Nick Richards,New Orleans Pelicans,Kentucky,2020,2,12
Jahmi'us Ramsey,Sacramento Kings,Texas Tech,2020,2,13
Marko Simonovic,Chicago Bulls,KK Mega Leks (Serbia),2020,2,14
Jordan Nwora,Milwaukee Bucks,Louisville,2020,2,15
CJ Elleby,Portland Trail Blazers,Washington State,2020,2,16
Yam Madar,Boston Celtics,Hapoel Galil Elyon (Israel),2020,2,17
Nico Mannion,Golden State Warriors,Arizona,2020,2,18
Isaiah Joe,Philadelphia 76ers,Arkansas,2020,2,19
Skylar Mays,Atlanta Hawks,Louisiana State,2020,2,20
Justinian Jessup,Golden State Warriors,Boise State,2020,2,21
Kenyon Martin Jr.,Sacramento Kings,IMG Academy,2020,2,22
Cassius Winston,Oklahoma City Thunder,Michigan State,2020,2,23
Cassius Stanley,Indiana Pacers,Duke,2020,2,24
Jay Scrubb,Brooklyn Nets,John A. Logan,2020,2,25
Grant Riller,Charlotte Hornets,College of Charleston,2020,2,26
Reggie Perry,LA Clippers,Mississippi State,2020,2,27
Paul Reed,Philadelphia 76ers,DePaul,2020,2,28
Jalen Harris,Toronto Raptors,Nevada-Reno,2020,2,29
Sam Merrill,New Orleans Pelicans,Utah State,2020,2,30
Zion Williamson,New Orleans Pelicans,Duke,2019,1,1
Ja Morant,Memphis Grizzlies,Murray State,2019,1,2
RJ Barrett,New York Knicks,Duke,2019,1,3
De'Andre Hunter,Los Angeles Lakers,Virginia,2019,1,4
Darius Garland,Cleveland Cavaliers,Vanderbilt,2019,1,5
Jarrett Culver,Phoenix Suns,Texas Tech,2019,1,6
Coby White,Chicago Bulls,North Carolina,2019,1,7
Jaxson Hayes,Atlanta Hawks,Texas,2019,1,8
Rui Hachimura,Washington Wizards,Gonzaga,2019,1,9
Cam Reddish,Atlanta Hawks,Duke,2019,1,10
Cameron Johnson,Minnesota Timberwolves,North Carolina,2019,1,11
P.J. Washington,Charlotte Hornets,Kentucky,2019,1,12
Tyler Herro,Miami Heat,Kentucky,2019,1,13
Romeo Langford,Boston Celtics,Indiana,2019,1,14
Sekou Doumbouya,Detroit Pistons,Limoges CSP (France),2019,1,15
Chuma Okeke,Orlando Magic,Auburn,2019,1,16
Nickeil Alexander-Walker,Brooklyn Nets,Virginia Tech,2019,1,17
Goga Bitadze,Indiana Pacers,KK Mega Leks (Serbia),2019,1,18
Luka Samanic,San Antonio Spurs,KK Olimpija (Slovenia),2019,1,19
Matisse Thybulle,Boston Celtics,Washington,2019,1,20
Brandon Clarke,Oklahoma City Thunder,Gonzaga,2019,1,21
Grant Williams,Boston Celtics,Tennessee,2019,1,22
Darius Bazley,Utah Jazz,Princeton,2019,1,23
Ty Jerome,Philadelphia 76ers,Virginia,2019,1,24
Nassir Little,Portland Trail Blazers,North Carolina,2019,1,25
Dylan Windler,Cleveland Cavaliers,Belmont,2019,1,26
Mfiondu Kabengele,Brooklyn Nets,Florida State,2019,1,27
Jordan Poole,Golden State Warriors,Michigan,2019,1,28
Keldon Johnson,San Antonio Spurs,Kentucky,2019,1,29
Kevin Porter Jr.,Milwaukee Bucks,Southern California,2019,1,30
Nic Claxton,Brooklyn Nets,Georgia,2019,2,1
KZ Okpala,Phoenix Suns,Stanford,2019,2,2
Carsen Edwards,Philadelphia 76ers,Purdue,2019,2,3
Bruno Fernando,Philadelphia 76ers,Maryland,2019,2,4
Didi Louzada,Atlanta Hawks,Sesi Franca (Brazil),2019,2,5
Cody Martin,Charlotte Hornets,North Carolina State,2019,2,6
Deividas Sirvydis,Dallas Mavericks,BC Lietuvos rytas (Lithuania),2019,2,7
Daniel Gafford,Chicago Bulls,Arkansas,2019,2,8
Alen Smailagic,New Orleans Pelicans,Santa Cruz (G League),2019,2,9
Justin James,Sacramento Kings,Wyoming,2019,2,10
Eric Paschall,Golden State Warriors,Villanova,2019,2,11
Admiral Schofield,Philadelphia 76ers,Tennessee,2019,2,12
Jaylen Nowell,Minnesota Timberwolves,Washington,2019,2,13
Bol Bol,Miami Heat,Oregon,2019,2,14
Isaiah Roby,Detroit Pistons,Nebraska,2019,2,15
Talen Horton-Tucker,Orlando Magic,Iowa State,2019,2,16
Ignas Brazdeikis,Sacramento Kings,Michigan,2019,2,17
Terance Mann,LA Clippers,Florida State,2019,2,18
Quinndary Weatherspoon,San Antonio Spurs,Mississippi State,2019,2,19
Jarrell Brantley,Indiana Pacers,College of Charleston,2019,2,20
Tremont Waters,Boston Celtics,Louisiana State,2019,2,21
Jalen McDaniels,Charlotte Hornets,San Diego,2019,2,22
Justin Wright-Foreman,Utah Jazz,Hofstra,2019,2,23
Marial Shayok,Philadelphia 76ers,Virginia,2019,2,24
Kyle Guy,New York Knicks,Virginia,2019,2,25
Jaylen Hands,LA Clippers,California-Los Angeles,2019,2,26
Jordan Bone,New Orleans Pelicans,Tennessee,2019,2,27
Miye Oni,Golden State Warriors,Yale,2019,2,28
Dewan Hernandez,Toronto Raptors,Miami (FL),2019,2,29
Vanja Marinkovic,Sacramento Kings,KK Partizan (Serbia),2019,2,30
Deandre Ayton,Phoenix Suns,Arizona,2018,1,1
Marvin Bagley III,Sacramento Kings,Duke,2018,1,2
Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3
Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4
Trae Young,Dallas Mavericks,Oklahoma,2018,1,5
Mo Bamba,Orlando Magic,Texas,2018,1,6
Wendell Carter Jr.,Chicago Bulls,Duke,2018,1,7
Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8
Kevin Knox II,New York Knicks,Kentucky,2018,1,9
Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10
Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11
Miles Bridges,LA Clippers,Michigan State,2018,1,12
Jerome Robinson,LA Clippers,Boston College,2018,1,13
Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14
Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15
Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16
Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17
Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18
Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19
Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20
Grayson Allen,Utah Jazz,Duke,2018,1,21
Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22
Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23
Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24
Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25
Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26
Robert Williams III,Boston Celtics,Texas A&M,2018,1,27
Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28
Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29
Omari Spellman,Atlanta Hawks,Villanova,2018,1,30
Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1
Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2
Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3
Devonte' Graham,Atlanta Hawks,Kansas,2018,2,4
Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5
Mitchell Robinson,New York Knicks,,2018,2,6
Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7
Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8
Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9
Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10
Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11
Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12
Justin Jackson,Denver Nuggets,Maryland,2018,2,13
Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14
Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15
De'Anthony Melton,Houston Rockets,Southern California,2018,2,16
Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17
Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18
Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19
Alize Johnson,Indiana Pacers,Missouri State,2018,2,20
Tony Carr,New Orleans Pelicans,Penn State,2018,2,21
Vincent Edwards,Utah Jazz,Purdue,2018,2,22
Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23
Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24
Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25
Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26
Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27
Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28
George King,Phoenix Suns,Colorado,2018,2,29
Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30
Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1
Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2
Jayson Tatum,Boston Celtics,Duke,2017,1,3
Josh Jackson,Phoenix Suns,Kansas,2017,1,4
De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5
Jonathan Isaac,Orlando Magic,Florida State,2017,1,6
Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7
Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8
Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9
Zach Collins,Sacramento Kings,Gonzaga,2017,1,10
Malik Monk,Charlotte Hornets,Kentucky,2017,1,11
Luke Kennard,Detroit Pistons,Duke,2017,1,12
Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13
Bam Adebayo,Miami Heat,Kentucky,2017,1,14
Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15
Justin Patton,Chicago Bulls,Creighton,2017,1,16
D.J. Wilson,Milwaukee Bucks,Michigan,2017,1,17
T.J. Leaf,Indiana Pacers,California-Los Angeles,2017,1,18
John Collins,Atlanta Hawks,Wake Forest,2017,1,19
Harry Giles III,Portland Trail Blazers,Duke,2017,1,20
Terrance Ferguson,Oklahoma City Thunder,Adelaide 36ers (Australia),2017,1,21
Jarrett Allen,Brooklyn Nets,Texas,2017,1,22
OG Anunoby,Toronto Raptors,Indiana,2017,1,23
Tyler Lydon,Utah Jazz,Syracuse,2017,1,24
Anzejs Pasecniks,Orlando Magic,CB Gran Canaria (Spain),2017,1,25
Caleb Swanigan,Portland Trail Blazers,Purdue,2017,1,26
Kyle Kuzma,Brooklyn Nets,Utah,2017,1,27
Tony Bradley,Los Angeles Lakers,North Carolina,2017,1,28
Derrick White,San Antonio Spurs,Colorado,2017,1,29
Josh Hart,Utah Jazz,Villanova,2017,1,30
Frank Jackson,Charlotte Hornets,Duke,2017,2,1
Davon Reed,Phoenix Suns,Miami (FL),2017,2,2
Wes Iwundu,Orlando Magic,Kansas State,2017,2,3
Frank Mason III,Sacramento Kings,Kansas,2017,2,4
Ivan Rabb,Orlando Magic,California,2017,2,5
Jonah Bolden,Philadelphia 76ers,Red Star Belgrade (Serbia),2017,2,6
Semi Ojeleye,Boston Celtics,Southern Methodist,2017,2,7
Jordan Bell,Chicago Bulls,Oregon,2017,2,8
Jawun Evans,Philadelphia 76ers,Oklahoma State,2017,2,9
Dwayne Bacon,New Orleans Pelicans,Florida State,2017,2,10
Tyler Dorsey,Atlanta Hawks,Oregon,2017,2,11
Thomas Bryant,Utah Jazz,Indiana,2017,2,12
Isaiah Hartenstein,Houston Rockets,BC Zalgiris (Lithuania),2017,2,13
Damyean Dotson,New York Knicks,Houston,2017,2,14
Dillon Brooks,Houston Rockets,Oregon,2017,2,15
Sterling Brown,Philadelphia 76ers,Southern Methodist,2017,2,16
Ike Anigbogu,Indiana Pacers,California-Los Angeles,2017,2,17
Sindarius Thornwell,Milwaukee Bucks,South Carolina,2017,2,18
Vlatko Cancar,Denver Nuggets,KK Mega Leks (Serbia),2017,2,19
Mathias Lessort,Philadelphia 76ers,Nanterre 92 (France),2017,2,20
Monte Morris,Denver Nuggets,Iowa State,2017,2,21
Edmond Sumner,New Orleans Pelicans,Xavier,2017,2,22
Kadeem Allen,Boston Celtics,Arizona,2017,2,23
Alec Peters,Phoenix Suns,Valparaiso,2017,2,24
Nigel Williams-Goss,Utah Jazz,Gonzaga,2017,2,25
Jabari Bird,Boston Celtics,California,2017,2,26
Aleksandar Vezenkov,Brooklyn Nets,FC Barcelona Basquet (Spain),2017,2,27
Ognjen Jaramaz,New York Knicks,KK Mega Leks (Serbia),2017,2,28
Jaron Blossomgame,San Antonio Spurs,Clemson,2017,2,29
Alpha Kaba,Atlanta Hawks,KK Mega Leks (Serbia),2017,2,30
Ben Simmons,Philadelphia 76ers,Louisiana State,2016,1,1
Brandon Ingram,Los Angeles Lakers,Duke,2016,1,2
Jaylen Brown,Boston Celtics,California,2016,1,3
Dragan Bender,Phoenix Suns,Maccabi Tel Aviv B.C. (Israel),2016,1,4
Kris Dunn,Minnesota Timberwolves,Providence,2016,1,5
Buddy Hield,New Orleans Pelicans,Oklahoma,2016,1,6
Jamal Murray,Denver Nuggets,Kentucky,2016,1,7
Marquese Chriss,Phoenix Suns,Washington,2016,1,8
Jakob Poeltl,Toronto Raptors,Utah,2016,1,9
Thon Maker,Milwaukee Bucks,,2016,1,10
Domantas Sabonis,Oklahoma City Thunder,Gonzaga,2016,1,11
Taurean Prince,Utah Jazz,Baylor,2016,1,12
Georgios Papagiannis,Sacramento Kings,Panathinaikos B.C. (Greece),2016,1,13
Denzel Valentine,Chicago Bulls,Michigan State,2016,1,14
Juancho Hernangomez,Denver Nuggets,Movistar Estudiantes,2016,1,15
Guerschon Yabusele,Boston Celtics,SPO Rouen Basket,2016,1,16
Wade Baldwin IV,Memphis Grizzlies,Vanderbilt,2016,1,17
Henry Ellenson,Detroit Pistons,Marquette,2016,1,18
Malik Beasley,Denver Nuggets,Florida State,2016,1,19
Caris LeVert,Indiana Pacers,Michigan,2016,1,20
DeAndre' Bembry,Atlanta Hawks,Saint Joseph's,2016,1,21
Malachi Richardson,Charlotte Hornets,Syracuse,2016,1,22
Ante Zizic,Boston Celtics,KK Cibona (Croatia),2016,1,23
Timothe Luwawu-Cabarrot,Philadelphia 76ers,KK Mega Vizura,2016,1,24
Brice Johnson,LA Clippers,North Carolina,2016,1,25
Furkan Korkmaz,Philadelphia 76ers,Anadolu Efes S.K. (Turkey),2016,1,26
Pascal Siakam,Toronto Raptors,New Mexico State,2016,1,27
Skal Labissiere,Sacramento Kings,Kentucky,2016,1,28
Dejounte Murray,San Antonio Spurs,Washington,2016,1,29
Damian Jones,Golden State Warriors,Vanderbilt,2016,1,30
Deyonta Davis,Boston Celtics,Michigan State,2016,2,1
Ivica Zubac,Los Angeles Lakers,KK Mega Vizura,2016,2,2
Cheick Diallo,LA Clippers,Kansas,2016,2,3
Tyler Ulis,Phoenix Suns,Kentucky,2016,2,4
Rade Zagorac,Boston Celtics,KK Mega Vizura,2016,2,5
Malcolm Brogdon,Milwaukee Bucks,Virginia,2016,2,6
Chinanu Onuaku,Houston Rockets,Louisville,2016,2,7
Patrick McCaw,Golden State Warriors,Nevada-Las Vegas,2016,2,8
David Michineau,New Orleans Pelicans,Elan Chalon (France),2016,2,9
Diamond Stone,New Orleans Pelicans,Maryland,2016,2,10
Stephen Zimmerman,Orlando Magic,Nevada-Las Vegas,2016,2,11
Isaiah Whitehead,Brooklyn Nets,Seton Hall,2016,2,12
Zhou Qi,Houston Rockets,Xinjiang Guanghui,2016,2,13
Isaia Cordinier,Atlanta Hawks,Denain ASC Voltaire,2016,2,14
Demetrius Jackson,Boston Celtics,Notre Dame,2016,2,15
AJ Hammons,Dallas Mavericks,Purdue,2016,2,16
Jake Layman,Orlando Magic,Maryland,2016,2,17
Paul Zipser,Chicago Bulls,FC Bayern Muenchen,2016,2,18
Michael Gbinije,Detroit Pistons,Syracuse,2016,2,19
Georges Niang,Indiana Pacers,Iowa State,2016,2,20
Ben Bentil,Boston Celtics,Providence,2016,2,21
Joel Bolomboy,Utah Jazz,Weber State,2016,2,22
Petr Cornelie,Denver Nuggets,Le Mans Sarthe Basket (France),2016,2,23
Kay Felder,Atlanta Hawks,Oakland,2016,2,24
Marcus Paige,Utah Jazz,North Carolina,2016,2,25
Daniel Hamilton,Denver Nuggets,Connecticut,2016,2,26
Wang Zhelin,Memphis Grizzlies,Fujian,2016,2,27
Abdel Nader,Boston Celtics,Iowa State,2016,2,28
Isaiah Cousins,Sacramento Kings,Oklahoma,2016,2,29
Tyrone Wallace,Utah Jazz,California,2016,2,30
Karl-Anthony Towns,Minnesota Timberwolves,Kentucky,2015,1,1
D'Angelo Russell,Los Angeles Lakers,Ohio State,2015,1,2
Jahlil Okafor,Philadelphia 76ers,Duke,2015,1,3
Kristaps Porzingis,New York Knicks,CB Sevilla (Spain),2015,1,4
Mario Hezonja,Orlando Magic,FC Barcelona Basquet (Spain),2015,1,5
Willie Cauley-Stein,Sacramento Kings,Kentucky,2015,1,6
Emmanuel Mudiay,Denver Nuggets,Guangdong Southern Tigers (China),2015,1,7
Stanley Johnson,Detroit Pistons,Arizona,2015,1,8
Frank Kaminsky,Charlotte Hornets,Wisconsin,2015,1,9
Justise Winslow,Miami Heat,Duke,2015,1,10
